Truth,Decoded
seven,seven
eight,eight
eight,eight
seven,seven
three,three
five,five
nine,nine
six,six
six,four
five,five
one,one
four,four
eight,eight
eight,eight
two,two
eight,eight
two,two
six,six
seven,seven
three,three
two,two
three,three
nine,nine
four,four
nine,nine
six,six
four,two
five,five
six,six
four,four
three,three
four,two
six,five
eight,six
seven,seven
three,three
four,two
eight,eight
four,four
nine,nine
nine,nine
two,two
one,one
two,two
seven,six
one,one
two,two
two,two
one,one
zero,zero
